PIN	user_name	reputation_score
348233	Mark Rodriguez	11
569598	Robert Torres	43
592693	Tim Jones	34
632816	George White	64
696162	James Smith	32
823718	Karen Anderson	81
860592	Maria Lewis	39
276711	Jennifer King	44
288697	Angela Brown	18
301559	Megan Jones	0
347772	Thomas Baker	65
374762	Linda Hill	45
376058	Linda Robinson	90
471604	Emily Jones	51
876986	Hannah Adams	15
132589	Mark King	84
213910	William Taylor	61
261979	Peter Miller	77
344190	Michael Adams	52
488571	Emily Rodriguez	33
498347	Olivia Green	61
699181	John Smith	28
766895	Elizabeth Green	76
793446	Hannah Davis	11
900911	Sarah Brown	62
182916	Liam Lee	72
200007	Peter Green	93
416030	Lisa Johnson	6
576320	Thomas Wilson	95
590707	William Baker	43
603049	Steven Miller	77
637945	Elizabeth Scott	66
750487	John Perez	52
928888	Chloe Jones	54
225145	Ethan Brown	95
346319	Jason Davis	48
417794	Thomas Lee	84
596226	Thomas Gonzalez	91
802599	Mike Wright	11
827734	William Thomas	18
859180	Noah Allen	43
875250	Liam Anderson	37
226241	Peter Harris	8
558727	Hannah Martinez	44
622394	Lisa Brown	11
687065	Alan Torres	53
903231	Jennifer Nguyen	6
952569	Kevin Brown	39
987545	Maria Moore	72
103453	Jennifer Lewis	82
143587	Ella Adams	91
149560	Olivia Martinez	33
194024	Emma Thompson	37
366656	Susan King	99
438775	George Scott	94
441614	Ethan Gonzalez	17
774550	Rachel Jones	23
799373	Zach Perez	33
159224	Jane Jones	61
199228	Mike Anderson	52
554575	Sarah Garcia	30
892758	Emily Hill	24
901167	Mike Adams	38
268827	Tim Baker	49
415044	Michael Scott	47
817187	Scott Williams	91
153630	Elizabeth Walker	9
666833	David Nguyen	98
700209	Jane Hill	59
855079	Peter Taylor	29
119561	Ethan Smith	16
340571	Heather Lee	36
372109	Jennifer Moore	75
527979	Scott Robinson	94
115660	Jane Clark	67
190442	Zach Rodriguez	88
359925	James Johnson	64
554778	Jane Baker	20
691180	Jason Taylor	73
807752	Chloe Anderson	81
408435	Ethan Taylor	41
482651	James Davis	25
658178	George Johnson	58
665865	Emily Thompson	29
814213	Sophia Perez	33
907286	Karen Thomas	15
343830	Chloe Jackson	75
348302	Noah White	85
561176	Alan Jackson	9
189706	Megan Anderson	97
326396	Chloe Young	52
694211	Jane Martin	23
114522	Sophia Lewis	18
148687	Susan Johnson	53
205554	Lisa Rodriguez	12
498276	Liam Thompson	39
302267	Chloe Lee	44
359880	Rachel Wilson	56
850338	Laura Clark	41
391339	Patrick Thomas	20
615956	Mark Jackson	5
636675	Mark White	40
978952	Susan Young	24
574912	Grace Clark	39
605608	Jason Brown	49
977914	Jane Young	100
379590	Peter Jones	48
366731	Scott Torres	38
664963	Kevin Williams	63
100879	Grace Harris	11
